time,line,errorMsg
1471489553.039095022,904,"CUPTI_ERROR_INVALID_METRIC_NAME(inst_fp_32)"
1471489553.039119376,904,"CUPTI_ERROR_INVALID_METRIC_NAME(inst_fp_64)"
1471489553.039137618,904,"CUPTI_ERROR_INVALID_METRIC_NAME(inst_integer)"
1471489553.192977771,904,"CUPTI_ERROR_INVALID_METRIC_NAME(inst_fp_32)"
1471489553.192997468,904,"CUPTI_ERROR_INVALID_METRIC_NAME(inst_fp_64)"
1471489553.193015230,904,"CUPTI_ERROR_INVALID_METRIC_NAME(inst_integer)"
1471489553.341916211,904,"CUPTI_ERROR_INVALID_METRIC_NAME(inst_fp_32)"
1471489553.341935374,904,"CUPTI_ERROR_INVALID_METRIC_NAME(inst_fp_64)"
1471489553.341953038,904,"CUPTI_ERROR_INVALID_METRIC_NAME(inst_integer)"
1471489553.490010398,904,"CUPTI_ERROR_INVALID_METRIC_NAME(inst_fp_32)"
1471489553.490029816,904,"CUPTI_ERROR_INVALID_METRIC_NAME(inst_fp_64)"
1471489553.490047726,904,"CUPTI_ERROR_INVALID_METRIC_NAME(inst_integer)"
1471489553.637841115,904,"CUPTI_ERROR_INVALID_METRIC_NAME(inst_fp_32)"
1471489553.637860306,904,"CUPTI_ERROR_INVALID_METRIC_NAME(inst_fp_64)"
1471489553.637877917,904,"CUPTI_ERROR_INVALID_METRIC_NAME(inst_integer)"
1471489553.786479672,904,"CUPTI_ERROR_INVALID_METRIC_NAME(inst_fp_32)"
1471489553.786498696,904,"CUPTI_ERROR_INVALID_METRIC_NAME(inst_fp_64)"
1471489553.786516450,904,"CUPTI_ERROR_INVALID_METRIC_NAME(inst_integer)"